time, pos, colour
0,0,1
1,-0.004120380474525379,1
2,-0.026013902944879205,1
3,-0.01810726196716201,1
4,0.019095530508891213,1
5,0.07078863376439601,1
6,0.036211151559410716,1
7,0.04078190039459306,1
8,0.02652780217649683,1
9,0.06336632760352501,1
10,0.03045490521994157,1
11,0.06938801361896058,1
12,0.04676311959168366,1
13,0.029704821931316412,1
14,0.05358615513993717,1
15,0.046735995704160684,1
16,0.08834201002020822,1
17,0.10170128312484132,1
18,0.13557422863202553,1
19,0.19561134716373668,1
20,0.19460678623425676,-5
21,0.11484160550907672,-5
22,0.09176187278746976,-5
23,-0.0010431046720257645,1
24,-0.024107480934878404,1
25,-0.005283383801450216,1
26,0.0389467204288598,1
27,0.08101343223239064,1
28,0.12469338010326998,1
29,0.14951643732325384,1
30,0.13560872758394935,1
31,0.10645792946661273,1
32,0.10112069876991807,1
33,0.0944659243558379,1
34,0.1304544179648729,1
35,0.14674702756204838,1
36,0.08774083541517436,1
37,0.12286887677944018,1
38,0.21795075366008504,1
39,0.16398655960346464,1
40,0.2633668360808827,1
41,0.21885679251625148,1
42,0.1462936607039207,1
43,0.19536485773530682,1
44,0.180820420057554,1
45,0.1704898494418795,1
46,0.14443005318597346,1
47,0.1404042818866766,1
48,0.1111364043496011,1
49,0.04791637436737112,1
50,0.0032403081971352134,1
51,0.028313585438908606,1
52,0.12201810060957399,1
53,0.14771920174892086,1
54,0.12869182201028373,1
55,0.18894815532477058,1
56,0.2490312869181741,1
57,0.29461225558628334,1
58,0.2634804877791125,1
59,0.31974787242733005,1
60,0.3389095129573765,1
61,0.40975550865740745,1
62,0.3351755630314778,1
63,0.4338473295864001,1
64,0.42187433387288653,1
65,0.3573297857156688,1
66,0.4082789622781003,1
67,0.3718629534595919,1
68,0.3526535896759952,1
69,0.3504120803738124,1
70,0.3542754910517604,1
71,0.44906902159601453,1
72,0.4394504600220246,1
73,0.5072624403221051,1
74,0.48108744748175714,1
75,0.4271007859553922,1
76,0.41191978549559,1
77,0.40833645013920555,1
78,0.3939037649988338,1
79,0.44354972094248557,1
80,0.4431898104673747,1
81,0.41713721553125116,1
82,0.4585119632461306,1
83,0.43910598326965783,1
84,0.4542695744319175,1
85,0.4306712896196081,1
86,0.4399404236666028,1
87,0.49397692009087674,1
88,0.4943670896066028,1
89,0.45509467545957916,1
90,0.4722162862645056,1
91,0.5065201664312208,1
92,0.5802661258283615,1
93,0.5234608967457631,1
94,0.49906719707475905,1
95,0.5605167424607727,1
96,0.5537807136764937,1
97,0.5717374584390271,1
98,0.5808958645841026,1
99,0.6168353648040106,1
100,0.6271355160552359,1
101,0.6123109774904856,1
102,0.6376259228039977,1
103,0.6643256837380513,1
104,0.6890021650413758,1
105,0.6943525220601052,1
106,0.6872100364923899,1
107,0.6411613390019778,1
108,0.7116595640126553,1
109,0.706625527340146,1
110,0.7456108162702306,1
111,0.7494401403935051,1
112,0.756674818389809,1
113,0.7898806860754252,1
114,0.7543815282824479,1
115,0.8362018645770808,1
116,0.9100732346004006,1
117,0.9152905833352799,1
118,0.9617997792684816,1
119,0.9801197212546001,1
120,1.0309754554244206,1
121,1.0760354970811523,1
122,1.105357029771495,1
123,1.102704038121265,1
124,1.0633588271549255,1
125,1.0699073068301403,1
126,1.1041720135317705,1
127,1.0524560628792174,1
128,1.0553649694128138,1
129,1.0778503577653746,1
130,1.1117571144633396,1
131,1.1721727581161678,1
132,1.1892724431763104,1
133,1.1983976631643851,1
134,1.1956865643222279,1
135,1.1544981018961737,1
136,1.2129995954124462,1
137,1.2335423231323703,1
138,1.2135447801023818,1
139,1.2968520934122723,1
140,1.282573576493757,1
141,1.3069435477362346,1
142,1.3791501815160538,1
143,1.3330648498549122,1
144,1.3167835867797646,1
145,1.3713037124150502,1
146,1.3534519246321548,1
147,1.345266030774102,1
148,1.2915707349107572,1
149,1.2666283760783474,1
150,1.319602936738801,1
151,1.3519968180936852,1
152,1.3104596038225698,1
153,1.326975993549196,1
154,1.313298567372078,1
155,1.315055247458667,1
156,1.3830502901067219,1
157,1.3511669222301608,1
158,1.3673982922251715,1
159,1.3017400919016915,1
160,1.2843924751605278,-5
161,1.2837414090262396,-5
162,1.2161620967927178,-5
163,1.191613653336775,-5
164,1.135228453791052,-5
165,1.091763507890268,-5
166,1.0256742576568714,-5
167,1.0060341634965122,-5
168,0.9947005329953826,-5
169,0.8336968383560528,-5
170,0.7496544315031453,-5
171,0.7369233744115558,-5
172,0.6496852763447138,-5
173,0.6352675521784382,-5
174,0.6779490454502928,-5
175,0.5706289897490033,-5
176,0.5029530618431461,-5
177,0.4294551458396502,-5
178,0.4229958896451497,-5
179,0.3469418264691141,-5
180,0.2892013112282175,-5
181,0.2298506168429002,-5
182,0.19134077028140273,-5
183,0.11622340103352873,-5
184,0.1071607013127116,-5
185,0.08459932261358917,-5
186,-0.0058859608810696365,-5
187,-0.025087041953138458,-5
188,-0.06105600269699356,-5
189,-0.14344443149078684,-5
190,-0.19590580557318,-5
191,-0.27523155187421716,-5
192,-0.26343199971519127,-5
193,-0.3756432573969338,-5
194,-0.3239736792216061,-5
195,-0.2895632098543323,-5
196,-0.3329595965710699,-5
197,-0.3767865878458186,-5
198,-0.4166407420779258,-5
199,-0.5139892220238199,-5
200,-0.6069717027897298,-5
201,-0.6519561209865602,-5
202,-0.7323363456819176,-5
203,-0.8300670861839714,-5
204,-0.9110194858987024,-5
205,-0.9729193137665836,-5
206,-1.0063091499116505,-5
207,-1.0755476374703783,-5
208,-1.0960633371577653,1
209,-1.1489365206352693,1
210,-1.1415712448885817,1
211,-1.1404281977680994,1
212,-1.1129759807343809,1
213,-1.1124797595597347,1
214,-1.0788564003354129,1
215,-0.9839251007021935,1
216,-1.0385092981747635,1
217,-0.9424716341615456,1
218,-0.8917738938770631,1
219,-0.9342117803123827,1
220,-0.8757726392205766,1
221,-0.8353120087185535,1
222,-0.7850205359708498,1
223,-0.7523050330937701,1
224,-0.6833781027902851,1
225,-0.694637781592747,1
226,-0.6358411713155535,1
227,-0.6180920213331492,1
228,-0.5926878652222848,1
229,-0.6263626832275798,1
230,-0.6123578813956666,1
231,-0.5556116099745074,1
232,-0.5006735029672518,1
233,-0.49998835102712913,1
234,-0.47179931796876773,1
235,-0.42207970219305774,1
236,-0.3115679898012617,1
237,-0.27256982575790467,1
238,-0.2769554225459763,1
239,-0.1897561678071492,1
240,-0.1809827074842343,1
241,-0.15283181361459405,1
242,-0.10548052917334415,1
243,-0.016691330786215625,1
244,0.034625979629011976,1
245,0.11127795505452774,1
246,0.12106934934567835,1
247,0.07821535704851826,1
248,0.07112698123472207,1
249,0.08059058773708666,1
250,0.09763952203812365,1
251,0.13290027378401545,1
252,0.1742139179588264,1
253,0.19780724734502791,1
254,0.1800661709764804,1
255,0.1620321575225585,1
256,0.19259437355294737,1
257,0.2609253729913119,1
258,0.23499187078882486,1
259,0.17075118918272175,1
260,0.14931237015301108,1
261,0.07253990703068375,1
262,0.15669564806713254,1
263,0.17393310233542322,1
264,0.23663985119379882,1
265,0.16842007500775985,1
266,0.23134458861987056,1
267,0.2725044584384652,1
268,0.24295780263854327,1
269,0.2560867407679176,1
270,0.2839005234747852,1
271,0.3061496556193995,1
272,0.30810874566085894,1
273,0.2808461835488416,1
274,0.2649078888237374,1
275,0.28032982678803214,1
276,0.23848575247691378,1
277,0.23253574323969925,1
278,0.21733969508454945,1
279,0.21515061882876466,1
